chapter,position,name,type,link
75,1,Fog Control Demon,,List of Characters/Minor#Unnamed Characters
75,2,Fern,,
75,3,Frieren,,
75,4,Methode,,
75,5,Whirlwind Attack Demon,,List of Characters/Minor#Unnamed Characters
76,1,Genau,,
76,2,Stark,,
76,3,Revolte,,
76,4,Methode,,
76,5,Fern,,
76,6,Frieren,,
76,7,Sein,Flashback,
77,1,Stark,,
77,2,Fern,,
77,3,Frieren,,
77,4,Drachen Region chief,Debut,List of Characters/Minor#The Golden Land Arc
77,5,Heiter,Flashback,
77,6,Eisen,Flashback,
77,7,Himmel,Flashback,
77,8,Denken,,
77,9,Lernen,,
77,10,Edel,,
77,11,Serie,Mentioned,
77,12,Macht,Imagined Debut,
78,1,Stark,,
78,2,Fern,,
78,3,Frieren,,
78,4,Lake Korridor ferryman,Debut,List of Characters/Minor#The Golden Land Arc
78,5,Himmel,Flashback,
78,6,Eisen,Flashback,
78,7,Heiter,Flashback,
79,1,Fern,,
79,2,Stark,,
79,3,Frieren,,
79,4,Gehen,Debut,List of Characters/Minor#Named Characters
79,5,Eisen,Flashback,
79,6,Himmel,Flashback,
79,7,Heiter,Flashback,
79,8,Garrison near the Tor canyon,Flashback Debut,List of Characters/Minor#The Golden Land Arc
79,9,Great Tor canyon villager,Debut,List of Characters/Minor#The Golden Land Arc
80,1,Fern,,
80,2,Frieren,,
80,3,Stark,,
80,4,Schmal snowfield miner,Debut,List of Characters/Minor#The Golden Land Arc
80,5,Schmal snowfield adventurer,Debut,List of Characters/Minor#The Golden Land Arc
80,6,Heiter,Flashback,
80,7,Himmel,Flashback,
80,8,Eisen,Flashback,
80,9,Demon King,Mentioned,
81,1,Frieren,,
81,2,Fern,,
81,3,Stark,,
81,4,Lernen,Flashback,
81,5,Denken,,
81,6,Serie,Mentioned,
81,7,Glück,Mentioned,
81,8,Macht,Flashback,
81,9,Qual,Flashback,
81,10,Emperor,Cameo,
81,11,Denken's wife,Flashback,
81,12,Himmel,Flashback,
81,13,Heiter,Flashback,
81,14,Eisen,Flashback,
81,15,Flamme,Flashback,
82,1,Denken,,
82,2,Frieren,,
82,3,Fern,,
82,4,Stark,,
82,5,Macht,Flashback,
82,6,Sein,Flashback,
82,7,Lernen,,
82,8,Edel,,
82,9,Denken's wife,Mentioned,
83,1,Denken,,
83,2,Frieren,,
83,3,Fern,,
83,4,Stark,,
83,5,Macht,Flashback,
83,6,Serie's apprentices that sealed Macht,Imagined Debut,List of Characters/Minor#The Golden Land Arc
83,7,Edel,Flashback,
83,8,Lernen,Flashback,
83,9,Kanne,Memory,
83,10,Lawine,Memory,
83,11,Methode,Flashback,
83,12,Ewig the Sage,Mentioned,
83,13,Glück,Mentioned,
83,14,Tau,Flashback Debut,List of Characters/Minor#Named Characters
83,15,Second-class mages,Flashback Debut,List of Characters/Minor#The Golden Land Arc
83,16,Früh,Flashback Debut,List of Characters/Minor#Named Characters
84,1,Frieren,Chapter Cover,
84,2,Denken,Chapter Cover,
84,3,Lernen,Memory,
84,4,Edel,Memory,
84,5,Glück's family servant,Memory Debut,List of Characters/Minor#The Golden Land Arc
84,6,Macht,Memory,
84,7,Glück,Memory Debut,
84,8,Macht's victims in Weise,Memory Debut,List of Characters/Minor#The Golden Land Arc
85,1,Macht,Memory,
85,2,Lernen,Memory,
85,3,Edel,Memory,
85,4,Denken,,
85,5,Frieren,,
85,6,Fern,,
85,7,Stark,,
86,1,Denken,,
86,2,Frieren,,
86,3,Fern,,
86,4,Stark,,
86,5,Glück,Flashback,
86,6,Flamme,Mentioned,
86,7,Macht,,
86,8,Demon King,Mentioned,
87,1,Denken,,
87,2,Frieren,,
87,3,Fern,,
87,4,Stark,,
87,5,Glück,Flashback,
87,6,Edel,Flashback,
87,7,Macht,,
87,8,Demon King,Mentioned,
87,9,Slain priest,Memory,List of Characters/Minor#The Golden Land Arc
88,1,Macht,Memory,
88,2,Wahrheit,Memory Debut,
88,3,Solitär,Memory Debut,
88,4,Demon King,Mentioned,
88,5,Schlacht,Memory,
88,6,Hero of the South,Mentioned,
89,1,Schlacht,Memory,
89,2,Hero of the South,Mentioned,
89,3,Macht,Memory,
89,4,Demon King,Mentioned,
89,5,Grausam,Memory Debut,
89,6,Frieren,Mentioned,
89,7,Forced to fight girl,Memory Debut,List of Characters/Minor#The Golden Land Arc
89,8,Forced to fight boy,Memory Debut,List of Characters/Minor#The Golden Land Arc
90,1,Macht,Memory,
90,2,Glück,Memory,
90,3,Nobles of Weise,Memory Debut,List of Characters/Minor#The Golden Land Arc
90,4,Glück's political rival,Memory Debut,List of Characters/Minor#The Golden Land Arc
90,5,Glück's son,Memory Debut,List of Characters/Minor#The Golden Land Arc
90,6,Citizen of Weise,Memory Debut,List of Characters/Minor#The Golden Land Arc
91,1,Macht,Memory,
91,2,Glück,Memory,
91,3,Himmel,Mentioned,
91,4,Demon King,Mentioned,
91,5,Weise's council member,Memory Debut,List of Characters/Minor#The Golden Land Arc
91,6,Schräg,Memory Debut,List of Characters/Minor#Named Characters
91,7,Solitär,Flashback,
91,8,Qual,Flashback,
91,9,Lektüre,Cameo,
91,10,Denken,Memory,
92,1,Frieren,Chapter Cover,
92,2,Macht,Memory,
92,3,Denken,Memory,
92,4,Glück,Memory,
92,5,Lektüre,Memory Debut,
92,6,Solitär,Cameo,
92,7,Nobles of Weise,Mentioned,List of Characters/Minor#The Golden Land Arc
92,8,Ewig the Sage,Mentioned,
93,1,Macht,Memory,
93,2,Serie,Memory,
93,3,Apprentice with barrier magic,Memory Debut,List of Characters/Minor#The Golden Land Arc
93,4,Lernen,Memory,
93,5,Serie's apprentices that sealed Macht,Memory,List of Characters/Minor#The Golden Land Arc
93,6,Denken,,
93,7,Frieren,,
93,8,Fern,,
93,9,Stark,,
93,10,Solitär,,
94,1,Denken,,
94,2,Fern,,
94,3,Frieren,,
94,4,Stark,,
94,5,Solitär,,
94,6,Macht,,
95,1,Fern,,
95,2,Stark,,
95,3,Denken,,
95,4,Solitär,,
95,5,Macht,,
95,6,Evacuating villagers,Debut,List of Characters/Minor#The Golden Land Arc
95,7,Frieren,,
95,8,Rivale,Mentioned,
95,9,Tot,Mentioned,
96,1,Evacuating villagers,,List of Characters/Minor#The Golden Land Arc
96,2,Denken,,
96,3,Frieren,,
96,4,Macht,,
96,5,Lektüre,Flashback,
96,6,Lager,Cameo,
96,7,Neu,Cameo,
96,8,Kanone,Cameo,
96,9,Weg,Cameo,
96,10,Grau,Cameo,
96,11,Solitär,Mentioned,
96,12,Serie,Flashback,
96,13,Lernen,Flashback,
96,14,Sense,Flashback,
97,1,Fern,,
97,2,Solitär,,
97,3,Stark,,
97,4,Macht,,
97,5,Denken,,
97,6,Frieren,,
97,7,Evacuating villagers,,List of Characters/Minor#The Golden Land Arc
97,8,Aura,Imagined,
97,9,Himmel,Flashback,
97,10,Heiter,Flashback,
97,11,Eisen,Flashback,
97,12,Böse,Mentioned,
98,1,Lektüre,Dream,
98,2,Denken,,
98,3,Macht,,
98,4,Frieren,,
98,5,Solitär,,
98,6,Serie,Flashback,
98,7,Demon King,Mentioned,
98,8,Glück,Flashback,
99,1,Solitär,,
99,2,Frieren,,
99,3,Denken,Flashback,
99,4,Aura,Mentioned,
99,5,Macht,Mentioned,
99,6,Fern,Mentioned,
100,1,Frieren,,
100,2,Solitär,,
100,3,Denken,,
100,4,Macht,,
100,5,Fern,Flashback,
100,6,Richter,Flashback,
100,7,Laufen,Flashback,
101,1,Denken,,
101,2,Macht,,
101,3,Frieren,,
101,4,Solitär,,
101,5,Qual,Flashback,
101,6,Fern,Flashback,
101,7,Himmel,Mentioned,
102,1,Macht,,
102,2,Denken,,
102,3,Glück,Flashback,
102,4,Frieren,,
102,5,Solitär,,
102,6,Fern,,
102,7,Stark,,
102,8,Himmel,Flashback,
102,9,Böse,Flashback,
102,10,Eisen,Flashback,
102,11,Heiter,Flashback,
103,1,Denken,,
103,2,Macht,,
103,3,Shocked Weise's citizen,Debut,List of Characters/Minor#The Golden Land Arc
103,4,Solitär,Flashback,
103,5,Demon King,Mentioned,
103,6,Schlacht,Mentioned,
103,7,Glück,,
103,8,Weise guardsmen,Debut,List of Characters/Minor#The Golden Land Arc
104,1,Denken,,
104,2,Church Father in Weise,Debut,List of Characters/Minor#The Golden Land Arc
104,3,Glück,,
104,4,Stark,,
104,5,Fern,,
104,6,Frieren,,
104,7,Nobles of Weise,Mentioned,List of Characters/Minor#The Golden Land Arc
104,8,Glück's son,Flashback,List of Characters/Minor#The Golden Land Arc
104,9,Macht,Flashback,
104,10,Lektüre,Flashback,
104,11,Weise guardsmen,Appear,List of Characters/Minor#The Golden Land Arc
105,1,Stark,,
105,2,Frieren,,
105,3,Fern,,
105,4,Ernst Region Innkeeper,,List of Characters/Minor#Unnamed Characters
105,5,Flamme,Flashback,
106,1,Stark,,
106,2,Fern,,
106,3,Frieren,,
106,4,Wissen Mountain Herbalist,,List of Characters/Minor#Unnamed Characters
106,5,Himmel,Flashback,
106,6,Heiter,Flashback,
106,7,Eisen,Flashback,
107,1,Frieren,,
107,2,Border checkpoint guardsman,Debut,List of Characters/Minor#Goddess's Monument Arc
107,3,Stark,,
107,4,Fern,,
107,5,Macht,Mentioned,
107,6,Goddess of Creation,Imagined,
107,7,Demon King,Mentioned,
107,8,Himmel,,
107,9,Heiter,,
107,10,Eisen,,
108,1,Frieren,,
108,2,Fern,,
108,3,Stark,,
108,4,Eisen,,
108,5,Heiter,,
108,6,Himmel,,
108,7,Zart,Debut,
108,8,Grausam,Mentioned,
108,9,Flamme,Mentioned,
108,10,Demon King,Mentioned,
109,1,Himmel,,
109,2,Frieren,,
109,3,Zart,,
109,4,Eisen,,
109,5,Heiter,,
109,6,Grausam,Mentioned,
110,1,Frieren,,
110,2,Himmel,,
110,3,Eisen,,
110,4,Heiter,,
110,5,Demon King,Mentioned,
110,6,Hero of the South,Mentioned,
111,1,Heiter,,
111,2,Frieren,,
111,3,Himmel,,
111,4,Eisen,,
111,5,Fern,Flashback,
111,6,Stark,Flashback,
112,1,Frieren,,
112,2,Heiter,,
112,3,Himmel,,
112,4,Eisen,,
112,5,Goddess of Creation,Mentioned,
112,6,Demon King,Mentioned,
113,1,Himmel,,
113,2,Frieren,,
113,3,Heiter,,
113,4,Eisen,,
113,5,Monastery abbot,Debut,List of Characters/Minor#Goddess's Monument Arc
113,6,Northern Plateau villager,Debut,List of Characters/Minor#Goddess's Monument Arc
114,1,Eisen,,
114,2,Himmel,,
114,3,Heiter,,
114,4,Frieren,,
114,5,Kiesel,Debut,List of Characters/Minor#Named Characters
114,6,Aura,Flashback,
114,7,Böse,Flashback,
114,8,Goddess of Creation,Mentioned,
114,9,Demon King,Mentioned,
115,1,Himmel,,
115,2,Frieren,,
115,3,Heiter,,
115,4,Eisen,,
116,1,Fern,Chapter Cover,
116,2,Stark,Chapter Cover,
116,3,Himmel,,
116,4,Frieren,,
116,5,Heiter,,
116,6,Eisen,,
116,7,Solitär,,
116,8,Goddess of Creation,Mentioned,
116,9,Grausam,,
116,10,Rivale,Debut,
116,11,Tot,Debut,
117,1,Tot,,
117,2,Rivale,,
117,3,Grausam,,
117,4,Solitär,,
117,5,Zart,Imagined,
117,6,Demon King,Mentioned,
117,7,Schlacht,Imagined,
117,8,Heiter,,
117,9,Frieren,,
117,10,Eisen,,
117,11,Himmel,,
118,1,Grausam,,
118,2,Himmel,,
118,3,Frieren,,
118,4,Heiter,,
118,5,Rivale,,
118,6,Eisen,,
118,7,Solitär,,
118,8,Lord Norm,Dream,List of Characters/Minor#Named Characters
118,9,Voll,Dream,
119,1,Eisen,Chapter Cover,
119,2,Heiter,Chapter Cover,
119,3,Fern,,
119,4,Stark,,
119,5,Frieren,,
119,6,Unnamed Warrior,,List of Characters/Minor#Unnamed Characters
119,7,Unnamed Warrior'S Grandfather,Mentioned,List of Characters/Minor#Unnamed Characters
119,8,Himmel,Flashback,
119,9,Border checkpoint guardsman,Appear,List of Characters/Minor#Goddess's Monument Arc
120,1,Frieren,,
120,2,Fern,,
120,3,Stark,,
120,4,Bohne villager,Debut,List of Characters/Minor#Imperial Territory Travels Arc
120,5,Himmel,Flashback,
120,6,Heiter,Flashback,
120,7,Eisen,Flashback,
120,8,Story telling elder man,Debut,List of Characters/Minor#Imperial Territory Travels Arc
121,1,Frieren,,
121,2,Fern,,
121,3,Stark,,
121,4,Farbe Region villager,Debut,List of Characters/Minor#Imperial Territory Travels Arc
121,5,Slain imperial patrol,Debut,List of Characters/Minor#Imperial Territory Travels Arc
121,6,Flamme,Flashback,
122,1,Frieren,,
122,2,Fern,,
122,3,Stark,,
122,4,Armée,Debut,List of Characters/Minor#Named Characters
122,5,Flamme,Flashback,
123,1,Frieren,,
123,2,Fern,,
123,3,Stark,,
123,4,Hören Region citizen,Debut,List of Characters/Minor#Imperial Territory Travels Arc
123,5,Hören Region granny,Debut,List of Characters/Minor#Imperial Territory Travels Arc
123,6,Hören Region kid,Debut,List of Characters/Minor#Imperial Territory Travels Arc
123,7,Hören Region armorer,Debut,List of Characters/Minor#Imperial Territory Travels Arc
123,8,Hören Region tradesmen,Debut,List of Characters/Minor#Imperial Territory Travels Arc
123,9,Hören Region weapons master,Debut,List of Characters/Minor#Imperial Territory Travels Arc
123,10,Eisen,Flashback,
123,11,Heiter,Flashback,
123,12,Himmel,Flashback,
124,1,Radaal,Debut,
124,2,Radaal's wife,Debut,List of Characters/Minor#Imperial Territory Travels Arc
124,3,Frieren,,
124,4,Fern,,
124,5,Stark,,
124,6,Aufgabe Federation villager,Debut,List of Characters/Minor#Imperial Territory Travels Arc
124,7,Aufgabe Federation dad and daughter,Debut,List of Characters/Minor#Imperial Territory Travels Arc
124,8,Aufgabe Federation kids,Debut,List of Characters/Minor#Imperial Territory Travels Arc
124,9,Shadow Warriors Commanding officer,Flashback Debut,List of Characters/Minor#Imperial Territory Travels Arc
124,10,Eleven,Flashback Debut,List of Characters/Minor#Named Characters
124,11,Radaal's brother,Flashback Debut,List of Characters/Minor#Imperial Territory Travels Arc
125,1,Radaal,,
125,2,Stark,,
125,3,Fern,,
125,4,Frieren,,
125,5,Eleven,Flashback Debut,List of Characters/Minor#Named Characters
125,6,Radaal's brother,Flashback Debut,List of Characters/Minor#Imperial Territory Travels Arc
125,7,Radaal's wife,,List of Characters/Minor#Imperial Territory Travels Arc
126,1,Übel,,
126,2,Land,,
126,3,Land's grandmother,Flashback Debut,List of Characters/Minor#Foundation Festival Arc
126,4,Serie,Flashback,
126,5,Stark,,
126,6,Frieren,,
126,7,Sense,,
126,8,Falsch,,
126,9,Fern,,
126,10,Lineal,Imagined Debut,
126,11,Radaal,Flashback,
126,12,Hairstylist,,List of Characters/Minor#Foundation Festival Arc
126,13,Löwe,Cameo,
127,1,Übel,,
127,2,Land,,
127,3,Lager,Cameo,
127,4,Weg,Cameo,
127,5,Grau,Cameo,
127,6,Genau,Imagined,
127,7,Lernen,Imagined,
127,8,Falsch,Imagined,
127,9,Sense,Imagined,
127,10,Serie,Flashback,
127,11,Lineal,Flashback,
127,12,Neu,Debut,
127,13,Kanone,Debut,
127,14,Frieren,,
127,15,Fern,,
127,16,Stark,,
127,17,Löwe,Cameo,
127,18,Lehrer,Cameo,
128,1,Grau,Chapter Cover,
128,2,Lager,Chapter Cover,
128,3,Land,,
128,4,Übel,,
128,5,Neu,,
128,6,Löwe,Shadow,
128,7,Land's grandmother,Flashback,List of Characters/Minor#Foundation Festival Arc
128,8,Fräse,Cameo,
128,9,Weg,Debut,
128,10,Kanone,Mentioned,
129,1,Sense,,
129,2,Land,Mentioned,
129,3,Übel,Mentioned,
129,4,Falsch,,
129,5,Lineal,Mentioned,
129,6,Fern,,
129,7,Stark,,
129,8,Frieren,,
129,9,Flamme,Mentioned,
129,10,Fräse,Shadow,
129,11,Serie,,
129,12,Lehrer,Cameo,
129,13,Löwe,Debut,
129,14,Schritt,Debut,
129,15,Wolf,Debut,
129,16,Iris,Debut,
129,17,Routine,Debut,
129,18,Clematis,Debut,
129,19,Lore,Debut,
129,20,Wehrlos,Debut,
129,21,Gazelle,Debut,
130,1,Glück,,
130,2,Kanone,,
130,3,Emperor,Mentioned,
130,4,Nobles of Weise,Mentioned,List of Characters/Minor#The Golden Land Arc
130,5,Fräse,Flashback Debut,
130,6,Macht,Flashback,
130,7,Denken,,
130,8,Neu,,
130,9,Frieren,,
130,10,Fern,,
130,11,Stark,,
130,12,Falsch,,
130,13,Sense,,
131,1,Übel,,
131,2,Land,,
131,3,Weg,,
131,4,Sense,Mentioned,
131,5,Kanone,,
131,6,Neu,,
131,7,Fräse,Mentioned,
132,1,Stark,,
132,2,Fern,,
132,3,Frieren,,
132,4,Gazelle,,
132,5,Falsch,,
132,6,Denken,,
132,7,Routine,,
132,8,Sense,,
132,9,Serie,Mentioned,
132,10,Heiter,Mentioned,
132,11,Schritt,,
132,12,Wolf,,
132,13,Iris,,
132,14,Clematis,,
132,15,Lore,,
132,16,Wehrlos,,
132,17,Löwe,Flashback,
132,18,Kreis,Cameo,
133,1,Löwe,Flashback,
133,2,Clematis,,
133,3,Iris,,
133,4,Routine,,
133,5,Lore,,
133,6,Wolf,,
133,7,Schritt,,
133,8,Serie,Mentioned,
133,9,Sense,Pictured,
133,10,Wehrlos,,
133,11,Previous Emperor,Mentioned Debut,List of Characters/Minor#Foundation Festival Arc
133,12,Gazelle,,
133,13,Minus,Imagined Debut,
133,14,Falsch,,
133,15,Frieren,,
133,16,Fern,,
133,17,Stark,,
133,18,Himmel,Flashback,
134,1,Wehrlos,,
134,2,Clematis,,
134,3,Routine,Mentioned,
134,4,Iris,Flashback,
134,5,Lore,,
134,6,Löwe,Mentioned,
134,7,Goddess of Creation,Mentioned,
134,8,Schritt,,
134,9,Wolf,,
134,10,Gazelle,,
134,11,Stark,,
134,12,Frieren,,
134,13,Fern,,
135,1,Wehrlos,,
135,2,Clematis,,
135,3,Sein,,
135,4,Gorilla,Pictured,Kreis
135,5,Schritt,,
135,6,Gazelle,,
135,7,Wolf,,
135,8,Lore,,
135,9,Frieren,,
135,10,Fern,,
135,11,Stark,,
136,1,Frieren,,
136,2,Sein,,
136,3,Goddess of Creation,Mentioned,
136,4,Fern,,
136,5,Stark,,
136,6,Wolf,,
136,7,Gorilla,Mentioned,Kreis
136,8,Schritt,,
136,9,Lore,,
136,10,Gazelle,,
136,11,Sense,Flashback,
137,1,Fern,,
137,2,Frieren,,
137,3,Stark,,
137,4,Sein,,
137,5,Lore,,
137,6,Wolf,,
137,7,Gazelle,,
137,8,Schritt,Flashback,
137,9,Neu,,
137,10,Übel,,
137,11,Land,,
137,12,Kanone,,
137,13,Weg,,
137,14,Fräse,Mentioned,
137,15,Sense,,
137,16,Falsch,,
137,17,Minus,Imagined,
137,18,Gorilla,Mentioned,Kreis
137,19,Lineal,Mentioned,
137,20,Serie,,
137,21,Flamme,Flashback,
138,1,Löwe,Chapter Cover,
138,2,Serie,,
138,3,Falsch,,
138,4,Flamme,Flashback,
138,5,Sense,,
138,6,Land,,
138,7,Übel,,
138,8,Sein,,
138,9,Stark,,
138,10,Frieren,,
138,11,Fern,,
138,12,Previous Emperor,Imagined Debut,List of Characters/Minor#Foundation Festival Arc
138,13,Weg,,
138,14,Kanone,,
138,15,Neu,,
138,16,Fräse,Mentioned,
138,17,Clematis,Pictured,
138,18,Schritt,Pictured,
138,19,Lineal,Flashback,
138,20,Lernen,Mentioned,
138,21,Gazelle,Mentioned,
138,22,Wehrlos,Mentioned,
138,23,Gorilla,Pictured,Kreis
139,1,Sense,,
139,2,Übel,,
139,3,Fern,,
139,4,Frieren,,
139,5,Stark,,
139,6,Falsch,,
139,7,Land,,
139,8,Neu,Flashback,
139,9,Sein,,
139,10,Wehrlos,,
139,11,Kreis,,
139,12,Schritt,,
139,13,Wolf,Flashback,
139,14,Iris,,
139,15,Lore,,
139,16,Routine,,
139,17,Clematis,,
139,18,Löwe,,
139,19,Lehrer,Cameo,
139,20,Flamme,Mentioned,
139,21,Serie,Flashback,
139,22,Fräse,,
139,23,Kanone,,
140,1,Land,,
140,2,Übel,,
140,3,Falsch,,
140,4,Serie,,
140,5,Sense,,
140,6,Stark,,
140,7,Frieren,,
140,8,Fern,,
140,9,Sein,,
140,10,Wehrlos,Shadow,
140,11,Gazelle,Shadow,
140,12,Wolf,Shadow,
140,13,Schritt,Shadow,
140,14,Löwe,Shadow,
140,15,Kreis,Shadow,
140,16,Iris,Shadow,
140,17,Routine,Shadow,
140,18,Clematis,Shadow,
140,19,Emperor,Mentioned,
140,20,Land's grandmother,Mentioned,List of Characters/Minor#Foundation Festival Arc
140,21,Lernen,,
140,22,Denken,,
140,23,Glück,,
140,24,Übel's sister,Mentioned,List of Characters/Minor#First-Class Mage Exam Arc
141,1,Sense,,
141,2,Serie,,
141,3,Sein,,
141,4,Stark,,
141,5,Fern,,
141,6,Frieren,,
141,7,Schritt,Pictured,
141,8,Falsch,,
141,9,Routine,,
141,10,Iris,,
141,11,Clematis,,
141,12,Gazelle,,
141,13,Lager,Debut,
141,14,Grau,Debut,
141,15,Fräse,,
141,16,Kanone,,
141,17,Löwe,Imagined,
141,18,Lore,Flashback,
141,19,Übel,,
141,20,Land,,
142,1,Fräse,,
142,2,Emperor,Debut,
142,3,Falsch,Flashback,
142,4,Sense,Flashback,
142,5,Stark,Flashback,
142,6,Serie,Flashback,
142,7,Frieren,Flashback,
142,8,Sein,Flashback,
142,9,Fern,Flashback,
142,10,Denken,Imagined,
142,11,Land,,
142,12,Übel,,
142,13,Clematis,Flashback,
142,14,Gazelle,Flashback,
142,15,Routine,,
142,16,Iris,,
142,17,Kanone,,
143,1,Lager,Chapter Cover,
143,2,Grau,Chapter Cover,
143,3,Neu,Chapter Cover,
143,4,Weg,Chapter Cover,
143,5,Löwe,Chapter Cover,
143,6,Fern,,
143,7,Stark,,
143,8,Clematis,,
143,9,Wolf,,
143,10,Schritt,,
143,11,Gazelle,,
143,12,Kreis,Imagined,
143,13,Wehrlos,Imagined,
143,14,Lore,Flashback,
143,15,Frieren,,
143,16,Sein,,
143,17,Sense,,
143,18,Serie,,
143,19,Übel,,
143,20,Iris,,
143,21,Land,,
143,22,Routine,,
143,23,Fräse,,
143,24,Kanone,,
143,25,Falsch,,
143,26,Wirbel,Flashback,
144,1,Lager,,
144,2,Grau,,
144,3,Sense,,
144,4,Serie,,
144,5,Fräse,Imagined,
144,6,Emperor,Dream,
144,7,Flamme,Mentioned,
145,1,Denken,Imagined,
145,2,Hero of the South,Flashback,
145,3,Lernen,Flashback,
145,4,Fräse,Imagined,
145,5,Emperor,,
145,6,Sense,,
145,7,Serie,,
145,8,Kreis,,
145,9,Wehrlos,,
145,10,Falsch,,
146,1,Heiter,Chapter Cover,
146,2,Himmel,Chapter Cover,
146,3,Wehrlos,,
146,4,Kreis,,
146,5,Eisen,Flashback,
146,6,Rivale,Flashback,
146,7,Clematis,Flashback,
146,8,Löwe,Flashback,
146,9,Falsch,,
146,10,Serie,Mentioned,
146,11,Routine,Flashback,
146,12,Iris,Flashback,
146,13,Lineal,Mentioned,
146,14,Frieren,Mentioned,
146,15,Wolf,Mentioned,
147,1,Löwe,,
147,2,Lehrer,Debut,
147,3,Übel,,
147,4,Routine,,
147,5,Land,,
147,6,Iris,,
147,7,Falsch,,
147,8,Wehrlos,,
147,9,Stark,,
147,10,Sein,,
147,11,Frieren,,
147,12,Fern,,
147,13,Löwe's family,Flashback Debut,List of Characters/Minor#Foundation Festival Arc
147,14,Minus,Imagined,
147,15,Himmel,Mentioned,
